epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,14.8131,0.87414,1.08888,1.19111,0.75078,0.56667,0.82368,0.57597,1.66794,1.48541,1.38372,2.82082e-05,2.82082e-05,2.82082e-05
40,15.1514,0.77887,0.96616,1.06418,0.75078,0.56667,0.82368,0.57597,1.66794,1.48541,1.38372,2.84911e-05,2.84911e-05,2.84911e-05
41,15.5183,0.89981,1.54513,1.3546,0.6688,0.69221,0.7508,0.50632,1.66164,1.53668,1.38137,2.87504e-05,2.87504e-05,2.87504e-05
42,15.8714,0.87289,1.43634,1.34757,0.6688,0.69221,0.7508,0.50632,1.66164,1.53668,1.38137,2.89861e-05,2.89861e-05,2.89861e-05
43,16.242,1.00372,1.70024,1.41154,0.65295,0.69926,0.6646,0.43512,1.67149,1.6192,1.37635,2.91983e-05,2.91983e-05,2.91983e-05
44,16.5793,0.73711,0.93985,1.09669,0.65295,0.69926,0.6646,0.43512,1.67149,1.6192,1.37635,2.93869e-05,2.93869e-05,2.93869e-05
45,16.9431,0.9381,1.78128,1.38174,0.62017,0.61644,0.65402,0.43018,1.67753,1.68481,1.3809,2.9552e-05,2.9552e-05,2.9552e-05
46,17.2837,0.99721,1.10706,1.34169,0.62017,0.61644,0.65402,0.43018,1.67753,1.68481,1.3809,2.96935e-05,2.96935e-05,2.96935e-05
47,17.646,0.87884,1.2267,1.22861,0.57769,0.51804,0.62673,0.40824,1.67351,1.72788,1.37876,2.98114e-05,2.98114e-05,2.98114e-05
48,17.9903,1.01346,1.49107,1.45448,0.57769,0.51804,0.62673,0.40824,1.67351,1.72788,1.37876,2.99058e-05,2.99058e-05,2.99058e-05
49,18.3691,0.84463,1.69056,1.3955,0.56493,0.45511,0.59508,0.38299,1.678,1.73141,1.38238,2.99766e-05,2.99766e-05,2.99766e-05
50,18.7143,0.97124,1.12489,1.26301,0.56493,0.45511,0.59508,0.38299,1.678,1.73141,1.38238,3.00238e-05,3.00238e-05,3.00238e-05
51,19.0832,0.89914,1.08355,1.30394,0.84811,0.48704,0.5888,0.36278,1.66072,1.80185,1.37511,3.00475e-05,3.00475e-05,3.00475e-05
52,19.4347,0.61643,1.27251,1.21801,0.84811,0.48704,0.5888,0.36278,1.66072,1.80185,1.37511,3.00476e-05,3.00476e-05,3.00476e-05
53,19.7786,0.74624,0.7368,1.1711,0.84811,0.48704,0.5888,0.36278,1.66072,1.80185,1.37511,3.00242e-05,3.00242e-05,3.00242e-05
